[2026-06-24 10:27:19 ] 확인: pay_amount=234,809,423,370원, remain=4,990,576,630원, total_order_qty=6,809,912
[2026-06-24 10:27:49 ] 확인: pay_amount=234,816,246,970원, remain=4,983,753,030원, total_order_qty=6,810,151
[2026-06-24 10:28:19 ] 확인: pay_amount=234,823,897,910원, remain=4,976,102,090원, total_order_qty=6,810,377
[2026-06-24 10:28:49 ] 확인: pay_amount=234,831,679,460원, remain=4,968,320,540원, total_order_qty=6,810,599
[2026-06-24 10:29:19 ] 확인: pay_amount=234,838,004,570원, remain=4,961,995,430원, total_order_qty=6,810,812
[2026-06-24 10:29:50 ] 확인: pay_amount=234,845,231,060원, remain=4,954,768,940원, total_order_qty=6,811,042
[2026-06-24 10:30:20 ] 확인: pay_amount=234,851,817,740원, remain=4,948,182,260원, total_order_qty=6,811,261
[2026-06-24 10:30:50 ] 확인: pay_amount=234,859,763,120원, remain=4,940,236,880원, total_order_qty=6,811,504
[2026-06-24 10:31:20 ] 확인: pay_amount=234,866,122,770원, remain=4,933,877,230원, total_order_qty=6,811,708
[2026-06-24 10:31:50 ] 확인: pay_amount=234,874,271,520원, remain=4,925,728,480원, total_order_qty=6,811,955
[2026-06-24 10:32:20 ] 확인: pay_amount=234,882,271,240원, remain=4,917,728,760원, total_order_qty=6,812,200
[2026-06-24 10:32:51 ] 확인: pay_amount=234,890,250,350원, remain=4,909,749,650원, total_order_qty=6,812,449
[2026-06-24 10:33:21 ] 확인: pay_amount=234,899,886,430원, remain=4,900,113,570원, total_order_qty=6,812,653
[2026-06-24 10:33:51 ] 확인: pay_amount=234,908,356,950원, remain=4,891,643,050원, total_order_qty=6,812,927
[2026-06-24 10:34:21 ] 확인: pay_amount=234,916,373,550원, remain=4,883,626,450원, total_order_qty=6,813,168
[2026-06-24 10:34:51 ] 확인: pay_amount=234,924,069,740원, remain=4,875,930,260원, total_order_qty=6,813,399
[2026-06-24 10:35:21 ] 확인: pay_amount=234,934,068,600원, remain=4,865,931,400원, total_order_qty=6,813,697
[2026-06-24 10:35:52 ] 확인: pay_amount=234,941,830,910원, remain=4,858,169,090원, total_order_qty=6,813,909
[2026-06-24 10:36:22 ] 확인: pay_amount=234,950,056,750원, remain=4,849,943,250원, total_order_qty=6,814,131
[2026-06-24 10:36:52 ] 확인: pay_amount=234,958,743,380원, remain=4,841,256,620원, total_order_qty=6,814,374
[2026-06-24 10:37:22 ] 확인: pay_amount=234,965,255,970원, remain=4,834,744,030원, total_order_qty=6,814,563
[2026-06-24 10:37:52 ] 확인: pay_amount=234,973,321,870원, remain=4,826,678,130원, total_order_qty=6,814,799
[2026-06-24 10:38:23 ] 확인: pay_amount=234,981,625,180원, remain=4,818,374,820원, total_order_qty=6,815,060
[2026-06-24 10:38:53 ] 확인: pay_amount=234,988,791,650원, remain=4,811,208,350원, total_order_qty=6,815,267
[2026-06-24 10:39:23 ] 확인: pay_amount=234,995,487,890원, remain=4,804,512,110원, total_order_qty=6,815,464
[2026-06-24 10:39:53 ] 확인: pay_amount=235,003,352,640원, remain=4,796,647,360원, total_order_qty=6,815,732
[2026-06-24 10:40:23 ] 확인: pay_amount=235,010,207,270원, remain=4,789,792,730원, total_order_qty=6,815,918
[2026-06-24 10:40:54 ] 확인: pay_amount=235,020,488,980원, remain=4,779,511,020원, total_order_qty=6,816,182
[2026-06-24 10:41:24 ] 확인: pay_amount=235,028,193,220원, remain=4,771,806,780원, total_order_qty=6,816,425
[2026-06-24 10:41:54 ] 확인: pay_amount=235,037,891,120원, remain=4,762,108,880원, total_order_qty=6,816,703
[2026-06-24 10:42:24 ] 확인: pay_amount=235,046,404,910원, remain=4,753,595,090원, total_order_qty=6,816,952
[2026-06-24 10:42:54 ] 확인: pay_amount=235,054,726,550원, remain=4,745,273,450원, total_order_qty=6,817,202
[2026-06-24 10:43:25 ] 확인: pay_amount=235,064,060,830원, remain=4,735,939,170원, total_order_qty=6,817,453
[2026-06-24 10:43:55 ] 확인: pay_amount=235,070,823,740원, remain=4,729,176,260원, total_order_qty=6,817,684
[2026-06-24 10:44:25 ] 확인: pay_amount=235,079,043,000원, remain=4,720,957,000원, total_order_qty=6,817,941
[2026-06-24 10:44:55 ] 확인: pay_amount=235,087,151,270원, remain=4,712,848,730원, total_order_qty=6,818,170
[2026-06-24 10:45:26 ] 확인: pay_amount=235,096,506,480원, remain=4,703,493,520원, total_order_qty=6,818,469
[2026-06-24 10:45:56 ] 확인: pay_amount=235,105,201,620원, remain=4,694,798,380원, total_order_qty=6,818,711
[2026-06-24 10:46:26 ] 확인: pay_amount=235,112,568,540원, remain=4,687,431,460원, total_order_qty=6,818,950
[2026-06-24 10:46:56 ] 확인: pay_amount=235,122,143,680원, remain=4,677,856,320원, total_order_qty=6,819,252
[2026-06-24 10:47:26 ] 확인: pay_amount=235,129,669,550원, remain=4,670,330,450원, total_order_qty=6,819,491
[2026-06-24 10:47:56 ] 확인: pay_amount=235,138,987,940원, remain=4,661,012,060원, total_order_qty=6,819,772
[2026-06-24 10:48:27 ] 확인: pay_amount=235,145,243,500원, remain=4,654,756,500원, total_order_qty=6,819,976
[2026-06-24 10:48:57 ] 확인: pay_amount=235,152,052,380원, remain=4,647,947,620원, total_order_qty=6,820,191
[2026-06-24 10:49:27 ] 확인: pay_amount=235,159,946,950원, remain=4,640,053,050원, total_order_qty=6,820,444
[2026-06-24 10:49:58 ] 확인: pay_amount=235,168,413,910원, remain=4,631,586,090원, total_order_qty=6,820,700
[2026-06-24 10:50:28 ] 확인: pay_amount=235,176,422,450원, remain=4,623,577,550원, total_order_qty=6,820,954
[2026-06-24 10:50:58 ] 확인: pay_amount=235,183,992,760원, remain=4,616,007,240원, total_order_qty=6,821,206
[2026-06-24 10:51:28 ] 확인: pay_amount=235,190,404,910원, remain=4,609,595,090원, total_order_qty=6,821,407
[2026-06-24 10:51:58 ] 확인: pay_amount=235,197,521,320원, remain=4,602,478,680원, total_order_qty=6,821,612
[2026-06-24 10:52:28 ] 확인: pay_amount=235,204,281,400원, remain=4,595,718,600원, total_order_qty=6,821,812
[2026-06-24 10:52:59 ] 확인: pay_amount=235,213,154,810원, remain=4,586,845,190원, total_order_qty=6,822,105
[2026-06-24 10:53:29 ] 확인: pay_amount=235,219,841,480원, remain=4,580,158,520원, total_order_qty=6,822,319
[2026-06-24 10:53:59 ] 확인: pay_amount=235,227,758,970원, remain=4,572,241,030원, total_order_qty=6,822,559
[2026-06-24 10:54:30 ] 확인: pay_amount=235,236,148,980원, remain=4,563,851,020원, total_order_qty=6,822,834
[2026-06-24 10:55:00 ] 확인: pay_amount=235,244,973,990원, remain=4,555,026,010원, total_order_qty=6,823,110
[2026-06-24 10:55:30 ] 확인: pay_amount=235,253,639,300원, remain=4,546,360,700원, total_order_qty=6,823,386
[2026-06-24 10:56:00 ] 확인: pay_amount=235,261,355,080원, remain=4,538,644,920원, total_order_qty=6,823,621
[2026-06-24 10:56:30 ] 확인: pay_amount=235,267,598,910원, remain=4,532,401,090원, total_order_qty=6,823,836
[2026-06-24 10:57:01 ] 확인: pay_amount=235,274,569,010원, remain=4,525,430,990원, total_order_qty=6,824,062
[2026-06-24 10:57:31 ] 확인: pay_amount=235,282,410,370원, remain=4,517,589,630원, total_order_qty=6,824,303
[2026-06-24 10:58:01 ] 확인: pay_amount=235,290,052,840원, remain=4,509,947,160원, total_order_qty=6,824,521
[2026-06-24 10:58:31 ] 확인: pay_amount=235,296,827,020원, remain=4,503,172,980원, total_order_qty=6,824,725
[2026-06-24 10:59:01 ] 확인: pay_amount=235,303,276,910원, remain=4,496,723,090원, total_order_qty=6,824,935
[2026-06-24 10:59:31 ] 확인: pay_amount=235,310,028,410원, remain=4,489,971,590원, total_order_qty=6,825,143
[2026-06-24 11:00:02 ] 확인: pay_amount=235,316,863,930원, remain=4,483,136,070원, total_order_qty=6,825,370
[2026-06-24 11:00:32 ] 확인: pay_amount=235,325,690,190원, remain=4,474,309,810원, total_order_qty=6,825,731
[2026-06-24 11:01:02 ] 확인: pay_amount=235,334,623,710원, remain=4,465,376,290원, total_order_qty=6,826,038
[2026-06-24 11:01:32 ] 확인: pay_amount=235,341,284,950원, remain=4,458,715,050원, total_order_qty=6,826,258
[2026-06-24 11:02:02 ] 확인: pay_amount=235,350,055,000원, remain=4,449,945,000원, total_order_qty=6,826,502
[2026-06-24 11:02:32 ] 확인: pay_amount=235,359,004,630원, remain=4,440,995,370원, total_order_qty=6,826,767
[2026-06-24 11:03:03 ] 확인: pay_amount=235,369,031,690원, remain=4,430,968,310원, total_order_qty=6,827,039
[2026-06-24 11:03:33 ] 확인: pay_amount=235,377,994,010원, remain=4,422,005,990원, total_order_qty=6,827,305
[2026-06-24 11:04:03 ] 확인: pay_amount=235,385,352,570원, remain=4,414,647,430원, total_order_qty=6,827,534
[2026-06-24 11:04:33 ] 확인: pay_amount=235,393,830,530원, remain=4,406,169,470원, total_order_qty=6,827,797
[2026-06-24 11:05:04 ] 확인: pay_amount=235,400,816,330원, remain=4,399,183,670원, total_order_qty=6,828,010
[2026-06-24 11:05:34 ] 확인: pay_amount=235,410,168,580원, remain=4,389,831,420원, total_order_qty=6,828,294
[2026-06-24 11:06:04 ] 확인: pay_amount=235,419,356,780원, remain=4,380,643,220원, total_order_qty=6,828,558
[2026-06-24 11:06:34 ] 확인: pay_amount=235,427,007,770원, remain=4,372,992,230원, total_order_qty=6,828,786
[2026-06-24 11:07:04 ] 확인: pay_amount=235,436,756,560원, remain=4,363,243,440원, total_order_qty=6,829,045
[2026-06-24 11:07:35 ] 확인: pay_amount=235,445,153,160원, remain=4,354,846,840원, total_order_qty=6,829,301
[2026-06-24 11:08:05 ] 확인: pay_amount=235,453,608,750원, remain=4,346,391,250원, total_order_qty=6,829,552
[2026-06-24 11:08:35 ] 확인: pay_amount=235,461,633,550원, remain=4,338,366,450원, total_order_qty=6,829,793
